Bloque&Varid,Media_2025,Media_2026
011LUMIA,1884.6153846153845,1897.8947368421052
011STARDUST,3621.153846153846,3598.0263157894738
012DEEP PURPLE,16129.615384615385,17555.526315789473
012LIGHT HOUSE,1658.076923076923,1719.4736842105262
013COUNTRY BLUES,1438.4615384615386,1420.1315789473683
013LORRAINE,3599.519230769231,3682.8947368421054
013LUMIA,709.6153846153846,727.8947368421053
013VENDELA,9792.692307692309,11195.236842105263
014FRUITY BUBBLES,3528.3653846153848,4007.2368421052633
014STARDUST,6047.115384615385,6619.736842105263
015FELLINI,5652.307692307692,6229.210526315789
015JOCKER,4170.192307692308,5049.3421052631575
016DREAM IN PEACH,1418.076923076923,1765.2631578947369
016GOOD PEACH,3417.6923076923076,3877.8947368421054
016GOOD YELLOW,3243.4615384615386,4025.5263157894738
016NINA,2859.6153846153848,3380.2631578947367
017FREEDOM,5735.7692307692305,6176.8421052631575
017GOLDFINCH,3068.5576923076924,3384.8684210526317
017ORANGE STAR,1672.5961538461538,1659.8684210526317
018BRIGHTON,2039.423076923077,2189.4736842105262
018COSMO,3772.1153846153848,4199.3421052631575
018RUBICON,4303.2692307692305,4747.894736842105
019BELLINA,1806.3461538461538,2004.078947368421
019BRIGHTON,6957.692307692308,7816.4473684210525
019TABATHA,2687.3076923076924,2762.3684210526317
020BRIGHTON,5076.923076923077,5680.921052631579
020SUMMER DANCE,3215.3846153846152,3538.157894736842
020TYCOON,1174.0384615384614,1320.7894736842106
021ELEGANT ROSEVER,720.5769230769231,1049.2105263157894
021FLAME CLUB,1821.1538461538462,1886.842105263158
021KELLY,692.7884615384615,702.6315789473684
021LEILA,3644.230769230769,2965.1315789473683
021PISTACHIO KISS,0.0,210.20833333333334
021SHOW GIRL,1861.826923076923,1932.2368421052631
021SNOW BUBBLES,2861.153846153846,2824.7368421052633
022CORAL REEF,2502.8846153846152,2827.6315789473683
022FRUITY BUBBLES,5639.903846153846,6159.868421052632
022GOOD PEACH,2563.846153846154,2543.684210526316
022MIRABEL,1899.2307692307693,1961.0526315789473
023COTOPAXI,6600.576923076923,7353.9473684210525
023FRUTTETO,6076.7307692307695,7665.0
024COTOPAXI,3578.076923076923,3961.5789473684213
024SWEETNESS,2322.6923076923076,2486.842105263158
024TYCOON,4391.538461538462,4996.578947368421
025PINK MONDIAL,5331.7307692307695,5860.526315789473
026LOLA,4341.826923076923,5141.4473684210525
026PALOMA,5434.5192307692305,5791.4473684210525
026PURPLE BUBBLY,794.4230769230769,525.0
027SATISFACTION,4780.961538461538,5906.0526315789475
027TIFFANY,4772.307692307692,5745.0
028COTOPAXI,5454.2307692307695,6426.315789473684
028DEEP PURPLE,7675.961538461538,8306.052631578947
029PINK FLOYD,4376.442307692308,4449.3421052631575
030EXPLORER,2711.0576923076924,3058.5526315789475
030MIRABEL,4776.923076923077,5557.894736842105
030SOMERSET,3373.846153846154,3523.0263157894738
03182989,1779.6153846153845,1826.842105263158
031RUBICON,2393.653846153846,2603.684210526316
031SOMERSET,2168.846153846154,2290.810810810811
031VELVET BLOSSOMS,422.3076923076923,744.3243243243244
032ELBA,3220.3846153846152,3566.0526315789475
032MIRABEL,2580.769230769231,2673.157894736842
033CREAMY FOLIES,1212.6923076923076,1121.0526315789473
033HOT BUBBLES,4483.461538461538,4788.9473684210525
